threshold,accuracy,macro_f1,weighted_f1,readmitted_precision,readmitted_recall,readmitted_f1
0.73,0.5774647887323944,0.45469816499384114,0.47491914830463694,0.7971602434077079,0.11171119954519614,0.19596110695587135
0.24,0.5228300032754668,0.4463664756769081,0.4302866257870649,0.4910804200834412,0.9702956225127913,0.6521157703696628
0.74,0.5738617753029807,0.44506856806643436,0.46596199969999424,0.8034285714285714,0.09991472427515634,0.1777272152698774
0.75,0.5713724205699312,0.4377355328295291,0.459158377101808,0.8132147395171537,0.09096077316657192,0.1636200945928672
0.23,0.5168031444480838,0.43338851969156184,0.41639797037714654,0.48793127928439584,0.9768334280841388,0.6507906448253006
0.76,0.568162463150999,0.4290479108508658,0.4510736123630169,0.8198847262247838,0.08086981239340535,0.14721862871927555
0.22,0.510776285620701,0.42064184653317027,0.4027826228441777,0.4848421052631579,0.9819499715747584,0.6491590716903128
0.77,0.5650180150671471,0.42040352333834247,0.4430297644704689,0.8278145695364238,0.07106310403638431,0.13089005235602094
0.78,0.5629872256796593,0.41477781990057977,0.43779445893916896,0.8336380255941499,0.0648095508811825,0.12026902281418964
0.21,0.5054045201441205,0.4093084974107328,0.3906886248882492,0.48213540942583066,0.9857873791927232,0.6475585846326206
0.79,0.5606288896167704,0.408473697279806,0.43191998305324936,0.837782340862423,0.057987492893689596,0.10846736674199123
0.8,0.5580740255486407,0.4018649847601677,0.4257538946000149,0.8387850467289719,0.05102330869812394,0.09619506966773848
0.2,0.5005568293481821,0.39861016230964397,0.3792589492981919,0.4797436957420422,0.9896247868106879,0.6462180974477958
0.81,0.5564362921716345,0.39685164274490087,0.42109826612316037,0.8514588859416445,0.045622512791358726,0.08660461351679483
